,,2017,2018,2019,2020,2021,2022,2023,2024,latitude,longitude
BALLARAT,Gross value added in millions,349,331,392,286,214,289,503,570,-37.56,143.85
BALLARAT,Gross regional product in millions,395,376,445,325,244,331,575,651,-37.56,143.85
BALLARAT,Fiilled jobs in thousands,4.6,4.4,4.9,3.8,2.7,3.5,5.7,6.4,-37.56,143.85
BENDIGO LODDON,Gross value added in millions,414,440,525,408,288,429,694,629,-36.75,144.27
BENDIGO LODDON,Gross regional product in millions,468,498,596,463,330,491,790,720,-36.75,144.27
BENDIGO LODDON,Fiilled jobs in thousands,5.4,5.8,6.6,5.4,3.5,5.2,7.9,7,-36.75,144.27
CENTRAL HIGHLANDS,Gross value added in millions,93,105,91,92,80,117,144,197,-23.5,148.15
CENTRAL HIGHLANDS,Gross regional product in millions,107,121,104,106,93,136,167,228,-23.5,148.15
CENTRAL HIGHLANDS,Fiilled jobs in thousands,1.8,2,1.6,1.8,1.4,2.1,2.3,3.1,-23.5,148.15
CENTRAL MURRAY,Gross value added in millions,277,328,334,301,192,246,364,380,-35.11,139.26
CENTRAL MURRAY,Gross regional product in millions,317,375,384,346,223,285,419,438,-35.11,139.26
CENTRAL MURRAY,Fiilled jobs in thousands,4.6,5.5,5.2,5.1,3.3,4.1,5.3,5.3,-35.11,139.26
GEELONG AND THE BELLARINE,Gross value added in millions,675,697,800,679,388,630,1019,1222,-38.14,144.35
GEELONG AND THE BELLARINE,Gross regional product in millions,766,790,910,773,447,722,1164,1397,-38.14,144.35
GEELONG AND THE BELLARINE,Fiilled jobs in thousands,8.7,9,9.9,8.8,5,7.8,11.6,13.6,-38.14,144.35
GEELONG AND THE BELLARINE,TotalVisitors,-,5326,6007,6012,3240,3650,6225,-,-38.14,144.35
GIPPSLAND,Gross value added in millions,474,440,553,480,405,463,689,703,-37.58,147.47
GIPPSLAND,Gross regional product in millions,541,502,630,547,465,531,789,807,-37.58,147.47
